id;% ??;PREZZO LISTINO 2008;PREZZO LISTINO 2009;LISTINO 2010;% ??;LISTINO 2011;% ??;LISTINO 2012;IMMAGINE;TIPO MATERIALE O TESSUTO;BARCODE;NS. ART.;DESCRIZIONE;CODICE FORNITORE;DESCRIZIONE IN INGLESE;COLOUR ;FABRIC - GLASS;DIMENSIONI ARTICOLO Cm.;VOLUME IMBALLO m³;PZ. IMB.;DIMENSIONI IMBALLO Cm.;COSTO FOB 2012 USD;COSTO FOB 2012 EUR; CALCOLO 30 CBM ; CALCOLO 68 CBM ;Q.tà per container;;Trasp.;DAZI USD;PREZZO LISTINO 2011 DA ARROT.;COSTO EUR TRASPORTO COMPRESO 2011;PESO ART. Kg.;PESO IMBALLO Kg.;FORNITORE;COSTO FOB 2008 USD;COSTO FOB 2009 USD;COSTO FOB 2009 EUR;COSTO FOB 2010 USD;COSTO FOB 2010 EUR;a;b;c
132;;;;;;267,1;;284,4;;;;34260;FIORIERA QUADRA ALTA VERBENA CM 40X40 -35X35X90 H COLOR SPECIAL BROWN;;High square flower pot, upper size 40x40, bottom size 35x35, high 90cm.( 40x40x90cm). With REMOVABLE galvanized iron bucket.;1044 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,203;1;47x47x92;56,7;41,09;148;335;335;318;17,91;;284,37;59;;;OTION;;;;;;;;FIORIERE
133;;;;;;267,1;;284,4;;;;34261;FIORIERA QUADRA ALTA VERBENA CM 40X40 -35X35X90 H COLOR BIANCO;;High square flower pot, upper size 40x40, bottom size 35x35, high 90cm.( 40x40x90cm). With REMOVABLE galvanized iron bucket.;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,203;1;47x47x92;56,7;41,09;148;335;335;318;17,91;;284,37;59;;;OTION;;;;;;;;FIORIERE
134;;;;;;;;453,9;;;;34270;FIORIERA QUADRA ALTA VERBENA CM. 55X55/45X45X115 H COLOR SPECIAL BROWN;;flower pot (55X55X115), upper size 55x55, bottom size 45x45, high 115 cm. Aluminium frame. With REMOVABLE galvanized iron bucket. 2 handles. 1 cm feet;1044 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,38;1;57X57X117;83,7;60,65;79;179;179;170;33,52;;453,91;94,17;;;OTION;;;;;;;;FIORIERE
135;;;;;;262,6;;261;;;;34290;FIORIERA TONDA ALTA VERBENA DIAM.  CM.40/30X75 H COLOR SPECIAL BROWN;;High round flower pot, upper size Dia.40, bottom size dia.30, high 75cm.( Dia40x75cm). With REMOVABLE galvanized iron bucket.;1044 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,135;1;42x42x77;58,3;42,25;222;504;504;479;11,9;;261,01;54,15;;;OTION;;;;;;;;FIORIERE
136;;;;;;262,6;;261;;;;34291;FIORIERA TONDA ALTA VERBENA DIAM.  CM.40/30X75 H COLOR BIANCO;;High round flower pot, upper size Dia.40, bottom size dia.30, high 75cm.( Dia40x75cm). With REMOVABLE galvanized iron bucket.;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,135;1;42x42x77;58,3;42,25;222;504;504;479;11,9;;261,01;54,15;;;OTION;;;;;;;;FIORIERE
137;;;;;;352,5;;347,2;;;;34300;FIORIERA TONDA ALTA VERBENA DIAM. 50 -DIAM 40 H90 COLOR SPECIAL BROWN;;High round flower pot, upper size dia.50, bottom size dia40, high 90cm.( Dia50x90cm). With REMOVABLE galvanized iron bucket.;1044 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,248;1;52x52x92;69,2;50,14;121;274;274;260;21,9;;347,25;72,04;;;OTION;;;;;;;;FIORIERE
138;;;;;;352,5;;347,2;;;;34301;FIORIERA TONDA ALTA VERBENA DIAM. 50 -DIAM 40 H90 COLOR BIANCO;;High round flower pot, upper size dia.50, bottom size dia40, high 90cm.( Dia50x90cm). With REMOVABLE galvanized iron bucket.;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;Aluminum frame, flat wicker. REMOVABLE galvanized iron bucket, 2 handles. 1cm feet.;;0,248;1;52x52x92;69,2;50,14;121;274;274;260;21,9;;347,25;72,04;;;OTION;;;;;;;;FIORIERE
139;;;;636,3;;839,8;4,62;802,7;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49103;POLTRONA OSLO COLOR BRONZO SCURO;S002TF;S.S./PE Rattan Sofa - Single Seat Overall size: 73x71x73cm Stainless Leg: 25x25xT1,0/ (1,0)mm Aluminium back and seat frame Back and seat: PE weaving with 5 cm cushions SUNBRELLA stainless steel 304;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);73x71x73;0,721;2;125x78x74;186;134,78;;189;189;;31,75;;802,67;166,53;11,3;24,7;MEIGU;;137;92,57;;0;;;MOBILI PER SEDERSI IMBOTTITI
140;;;;965,2;;1268,8;5,51;1202,5;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49108;DIVANO 2 POSTI OSLO COLOR BRONZO SCURO;S002TF2;S.S./PE Rattan Sofa - Love Seat Overall size: 128,5x71x73cm Stainless Leg : 25x25xT1,0/ (1,0)mm Aluminium back and seat frame Back and seat: PE weaving with 5 cm cushions SUNBRELLA stainless steel 304 ;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);128,5x71x74;1,204;2;132x125x73;271;196,38;;113;113;;53,1;;1202,47;249,47;16,3;37;MEIGU;;194;131,08;;0;;;MOBILI PER SEDERSI IMBOTTITI
141;;;;1239,4;;1722,1;5,91;1626;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49113;DIVANO 3 POSTI OSLO COLOR BRONZO SCURO;S002TF3;S.S./PE Rattan Sofa - Triple Seat Overall size: 184x71x73cm Stainless Leg: 25x25xT1,0/ (1,0)mm Aluminium back and seat frame Back and seat: PE weaving with 5 cm cushions SUNBRELLA stainless steel 304 ;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);185x71x74;1,775;2;190x128x73;358;259,42;;77;77;;77,92;;1625,99;337,34;;;MEIGU;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
142;43,31;0;378,2;381,2;-29,67;542;-9,76;600,6;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49123;TAVOLINO OSLO CON VETRO COLOR BRONZO SCURO;T007TJ;S.S./PE Rattan coffee Table Overall Size: 120,5x60,5x43cm Aluminium framework inside weaving Stainless steel leg 25x25xT1,2/ (1,0)mm, 25x13xT1,2/(1,0)mm Top: PE rattan weaving, Covered by glass on top - TEMPERED stainless steel 304;Viro A003;Tempered clear glass;120,5x60,5x43;0,456;2;125x63x58;136;104,46;;298;298;;20,13;8,16;600,56;124,6;6,5;14,7;MEIGU;;87;58,78;;5,83;;;TAVOLO VETRO
143;;;;678,3;;904,1;-2,81;930,2;;;;49133;POLTRONA ANGOLARE SX OSLO COLOR BRONZO SCURO;S012TR Attenzione SX;"Stainless steel wicker corner sofa
overall size: 74×74×74CM
tube: 25×25×T1.0mm
Seat and back: wicker
with cushion 5cm in thickness
stainless steel legs
";Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);74X74X74;0,462;1;77x77x78;210;152,17;;147;147;;40,82;;930,21;192,99;;;MEIGU;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
144;;;;678,3;;904,1;-2,81;930,2;;;;49137;POLTRONA ANGOLARE DX OSLO COLOR BRONZO SCURO;S012TR Attenzione DX;"Stainless steel wicker corner sofa
overall size: 74×74×74CM
tube: 25×25×T1.0mm
Seat and back: wicker
with cushion 5cm in thickness
stainless steel legs
";Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);74X74X74;0,462;1;77x77x78;210;152,17;;147;147;;40,82;;930,21;192,99;;;MEIGU;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
145;;;;554,7;;725,7;-9,9;805,4;;;;49141;POLTRONA DIRITTA OSLO COLOR BRONZO SCURO;S012T;"Stainless steel sofa
overall size: 65×74×74CM
tube: 25×25×T1.0mm
Seat and back: wicker
with cushion 5cm in thickness
stainless steel legs";Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);65X74X74;0,408;1;79x69x75;181;131,16;;167;167;;35,93;;805,36;167,09;;;MEIGU;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
146;18,31;0;291,7;291,7;-15,47;345,1;-8,97;379,1;;STRUTTURA ACCIAIO + TECNO RATTAN;;49203;POLTRONCINA OSLO COLOR BRONZO SCURO ;Y006TF;S.S./wicker arm chair overall size: 60x60x84 cm stainless steel framework 22x22xT1.0mm seat and back PE wicker amr rest teak slat Stackable stainless steel 304;Viro A003;;60x60x84;0,478;4;62x75x103;94;68,12;;569;569;;10,54;;379,14;78,66;5,5;25,6;MEIGU;;74;50;;0;;;MOBILI PER SEDERSI 
147;;;;;;;;1049;;;;49213;TAVOLO RETTANGOLARE OSLO COLOR BRONZO SCURO 180x90x75 h;"T005T
180×90
1.2";"Stainless steel wicker table
overall size: 180x90x75cm
SUS304 tube: 38x38xT1.2mm
top: wicker with tempered glass
K/D packing stainless steel 304
";Viro A003;Tempered clear glass;180x90x75 ;0,242;1;184x94x14;256,5;197,02;;281;291;;20,62;15,39;1049,03;217,64;;;MEIGU;;;;;;;;TAVOLO VETRO
148;;;;958,9;;1189,8;-10,9;1335,4;;;;49214;TAVOLO RETTANGOLARE OSLO COLOR BRONZO SCURO 200x90x75 h;"T005T
200×100
1.2";"Stainless steel wicker table
overall size: 200x100x75cm
SUS304 tube: 38x38xT1.2mm
top: wicker with tempered glass
K/D packing stainless steel 304
";Viro A003;Tempered clear glass;200X100X75;0,297;1;204X14X104;320;245,8;;229;192;;31,25;19,2;1335,37;277,05;;;MEIGU;;;;;13,71;;;TAVOLO VETRO
149;24,76;0;223,3;223,3;-19,85;278,6;-2,42;285,5;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49218;TAVOLINO OSLO COLOR BRONZO SCURO CON VETRO 45X45X45 H;T010TJ;S.S. PE wicker coffee Table Overall size: 45x50x45 cm stainless steel tube: 22x22x1,0 mm Top: pe Wicker with 5 mm tempered glass;Viro A003;Tempered clear glass;45x45x45;0,142;2;47x55x55;70;53,77;;958;1100;;5,45;4,2;285,45;59,22;4,7;10,7;MEIGU;;51;34,46;;3;;;TAVOLO VETRO
150;20,8;0;919,9;919,9;-17,22;1111,2;-7,52;1201,5;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49223;LETTINO OSLO COLOR BRONZO SCURO;C001TMQ;S.S./PE Rattan Sun Bed Overall Size: 212x72x33cm 304 Stainless Steel Framework 50x25xT1.0mm, 40x20xT1.0mm, 22x22xT1.0mm Seat Frame: Aluminium tube inside wicker Seat and back PE weaving Adjustable backrest with gas lift system Two Wheels design with 2 teak slats on sides;Viro A003;;212x72x33;0,506;1;213x41x67;298;215,94;;134;180;;33,33;;1201,51;249,28;20,1;44,7;MEIGU;;243;164,19;;0;;;MOBILI PER SEDERSI
151;;;;339,4;;401,4;-5,15;423,2;;;;49250;POLTRONCINA STOCCOLMA IMPILABILE ;Y006MF;Stainless steel teak arm chair 304 ss tube: 22x22xT1,0mm Seat and back: teak Arm: teak ;;;60x56x85;0,481;4;62x74x105;103;74,64;;565;456;;13,16;;423,17;87,8;;;MEIGU;;;;82,3;58,79;;;MOBILI PER SEDERSI
152;;;;272,9;;318,7;2,15;312;;;;49254;SEDIA STOCCOLMA IMPILABILE ;Y003M;Stainless steel teak chair Overall size 47,5x57x91 tube 304:22x22xT1,0 mm seat and back: teak ;;;48x52x91;0,321;4;50x65x99;77;55,8;;847;672;;8,93;;311,98;64,73;;;MEIGU;;;;69,55;49,68;;;MOBILI PER SEDERSI
153;;;;818,9;;923,8;-3,59;958,2;;;;49268;TAVOLO RETTANGOLARE STOCCOLMA CM 150X90X75 H;T003MB 150x90;Stainless steel teak dining table tube: 50x25xT1,0mm Top: teak ;;;150x90x75;0,161;1;155x95x11;255;184,78;;422;428;;14,02;;958,22;198,8;;;MEIGU;;;;221;157,86;;;TAVOLO TEAK
154;;;;1065,8;;1247,5;-4,23;1302,6;;;;49272;TAVOLO RETTANGOLARE STOCCOLMA CM 200X100X75 H;T003MB 200x100;Stainless steel teak dining table tube: 50x25xT1,0mm Top: teak ;;;200x100x75;0,236;1;205x105x11;339;245,65;;288;244;;24,59;;1302,57;270,24;;;MEIGU;;;;281,5;201,07;;;TAVOLO TEAK
155;;;;1231,4;;1453,3;-10,58;1625,3;;;;49295;LETTINO STOCCOLMA MULTIPOSIZIONE ;C003MF;Stainless steel teak lounge 304 Stainless steel frame work: 38x38XT1,0mm Back and seat: teak With arm teak With gas lift system (with new position);;;204,5x80x56;1,155;1;207x60x93;325;235,51;;59;59;;101,69;;1625,31;337,2;;;MEIGU;;;;277,5;198,21;;;MOBILI PER SEDERSI
156;;;;;;365,8;-2,09;373,6;;;;49350;SEDIA ARDAL ;Y049BF;"stainless steel /batyline arm chair
overall size?56×54×85CM
seat size?43×50×45.5CM
aluminium?19×19×T1.2mm
batyline - Armrest: plastic wood sunken in the tube";Batyline Taupe 74075015 ;;56X54X85;0,492;4;83*57*104;92;66,67;;553;553;;10,85;;373,63;77,52;;;MEIGU;;;;;;;;MOBILI PER SEDERSI
157;;;;;;827,4;-10,37;923,1;;;;49300;POLTRONA ARDAL ;S016BF;"batyline / stainless steel sofa (plastic wood sunken in the armrest)
overall size?70×84×65CM
seat size?54×60×30CM
tube 304#?40×20×T1.2mm
 40×20×T1.2mm
batyline 10 cm cushion textilene";Batyline Taupe;Textilene Taupe;70x84x65;0,543;2;98X74X75;215;155,8;;250;168;;35,71;;923,08;191,51;;;MEIGU;;;;;;;;MOBILI PER SEDERSI IMBOTTITI
158;;;;;;1515,6;-14,03;1762,9;;;;49310;DIVANO 2 POSTI ARDAL ;S016BF2;"stainless steel love seat
overall size?135×84×65CM
seat size?119×60×30CM
tube 304#?40×20×T1.2mm
 30×15×T1.2mm
batyline Armrest: plastic wood sunken in the tube 10 cm cushion textilene
";Batyline Taupe;Textilene Taupe;135x84x65;0,813;1;88X138X67;369;267,39;;84;61;;98,36;;1762,92;365,75;;;MEIGU;;;;;;;;MOBILI PER SEDERSI IMBOTTITI
159;;;;;;;;2231;;;;49315;DIVANO 3 POSTI ARDAL;S016BF3;"stainless steel love seat
overall size?180×84×65CM
tube 304#?40×20×T1.2mm
 30×15×T1.2mm
batyline Armrest: plastic wood sunken in the tube 10 cm cushion textilene
";Batyline Taupe;Textilene Taupe;180X84X65;1,209;1;183X87X76;496;359,42;;56;58;;103,45;;2231,03;462,87;;;MEIGU;;;;;;;;MOBILI PER SEDERSI IMBOTTITI
160;;;;;;570,6;-16,69;684,9;;;;49321;TAVOLINO RETTANGOLARE ARDAL CM. 120X60X45 H;T049GJ;"stainless steel /glass tea table
overall size?120×60×45CM
tube 304#?40×10×T1.0mm
 25×25×T1.0mm
10mm tempered glass TAUPE";;;120X60X45;0,087;1;68x129x10;175;134,42;;782;782;;7,67;10,5;684,89;142,09;;;MEIGU;;;;;;;;TAVOLO VETRO
161;;;;;;1172,3;4,75;1119,1;;;;49380;LETTINO ARDAL ;C021BF;ss / batyline lounge (plastic wood sunken in the armrest) overall size?204x64x50cm tube 304#?25×25×T1.5mm batyline?7407 5015 ;;;204x64x50;0,848;1;212X77X52;223;161,59;;80;85;;70,59;;1119,12;232,18;;;MEIGU;;;;;;;;MOBILI PER SEDERSI
162;;;;;;284,8;-6,68;305,2;;;;49371;TAVOLINO QUADRO ARDAL CM. 45X45X45 H;T049GJ;"stainless steel tea table
overall size?45×45×45CM
tube 304#?20×10×T1.2mm
with 8mm tempered glass TAUPE ";;;45x45x45;0,03;1;50x50x12;79;60,68;;2267;2267;;2,65;4,74;305,24;63,33;;;MEIGU;;;;;;;;TAVOLO VETRO
163;;;;;;1413,9;-2,4;1448,7;;;;49361;TAVOLO RETTANGOLARE ARDAL CM. 160X90X75 H;T049G;stainless steel glass table overall size?160×90×75CM tube 304#?60×10×T1.5mm 38×38×T1.5mm 10mm tempered glass TAUPE ;;;160X90X75;0,246;1;164x94x16;363;278,83;;276;276;;21,74;21,78;1448,72;300,57;;;MEIGU;;;;;;;;TAVOLO VETRO
164;;;;;;1716,7;-3,65;1781,8;;;;49365;TAVOLO RETTANGOLARE ARDAL CM. 200X100X75 H;T049G;stainless steel glass table overall size?200×100×75CM tube 304#?60×10×T1.5mm 38×38×T1.5mm 10mm tempered glass TAUPE ;;;200X100X75;0,342;1;204x105x16;442;339,51;;199;199;;30,15;26,52;1781,75;369,66;;;MEIGU;;;;;;;;TAVOLO VETRO
165;;;;237,6;;264,9;#DIV/0!;;;;;49610;SEDIA CON BRACCIOLI HELSINKI IMPILABILE CM 57X61X95,5 H ;SF-C-124T;Stainless steel sling chair,size: 57x61x95.5cm #304 stainless steel tube frame with teak wood armrests black textilene fabric in weave 2X1 stainless steel tube size: 25x25mm hardware : stainless steel ;;2x1 Textilene color: black;57X61X95,5;1,25;22;;;0;;1.197;1152;;5,21;;0;;6,11;;GREENLINE;;;;64;45,71;;;MOBILI PER SEDERSI
166;;;;390,9;;433,8;#DIV/0!;;;;;49620;POLTRONA HELSINKI CM 60X73X108 H;SF-C-130T;Stainless steel sling position chair overall size:60x73x108cm #304 stainless steel tube frame black textilene fabric in 2x1 weaving stainless steel tube size: 30x20mm & 25x25mm hardware : stainless steel ;;2x1 Textilene color: black;60X73X108;0,1;1;102x15x64;;0;;680;700;;8,57;;0;;7,76;;GREENLINE;;;;106;75,71;;;MOBILI PER SEDERSI
167;;;;1371,4;;1504,9;#DIV/0!;;;;;49640;TAVOLO RETTANGOLARE ALLUNGABILE HELSINKI CM 150/210X90 X76 H;AF-T-029E;Stainless Steel extension table, size: 150/210x90x76cm #304 stainless steel tube frame 2.5CM teak wood slats table top tube size : 50x50mm hardware : stainless steel ;;; 150/210x90x76;0,15;1;96X156X10;;0;;453;420;;14,29;;0;;17;;GREENLINE;;;;395;282,14;;;TAVOLO TEAK
168;;;;924,9;;1055;#DIV/0!;;;;;49680;LETTINO MULTIPOSIZIONE HELSINKI BRACCIOLI IN TEAK CM 192X74X83 CM;AF-L-016;sling lounge with size 192x74x83cm #304 stainless steel frame 38 x 25 x 1.5mm black textilene fabric in weave 2x1 with teak armrests alum tube size : 45x35x1.5mm 5-position back hardware : stainless steel ;;2x1 Textilene color: black;192X74X83;1;2;217x66x69;;0;;136;136;;44,12;;0;;23,29;;GREENLINE;;;;218;155,71;;;MOBILI PER SEDERSI
169;;;;569,8;;569,8;#DIV/0!;;;;;49710;POLTRONCINA KEMI CM 64,5X70X91 H;WF-C-079;wicker chair with size 64.5x70x91cm alum. tube frame in powder coating resin wicker chair seat and back(round wicker) #304 stainless steel tube base hardware : stainless steel with seat and back cushion ;FB99WK00796S;with cushion with zipper for seat and back ECRU COLOR;64,5X70X91;0,7;2;87X74X108;;0;;194;180;;33,33;;0;;15;;GREENLINE;;;;108;77,14;;;MOBILI PER SEDERSI IMBOTTITI
170;;;;2293,3;;2516,2;#DIV/0!;;;;;49740;TAVOLO RETTANGOLARE KEMI CM 90X210X76 H;AF-T-047;Rectangular table size 90x210x76 h 304 stainless steel tube frame with black spray stone table top frame tube size: 25x38x2.0 mm legs tube size: 60x60x2.00 mm hardware : stainless steel ;;;210x90x76;0,29;1;96*216*14;;0;;234;272;;22,06;;0;;40;;GREENLINE;;;;658;470;;;ALTRI MOBILI
171;;;;118,2;;138,4;#DIV/0!;;;;;58010;SEDIA CON BRACCIOLI IRIS BRACCIOLI CON INSERTO IN TEAK CM 57x57x86,5 H ;SF-C-113T;sling chair with size 57x57x86.5cm white alum. tube frame in powder coating white textilene fabric in weave 2X1 with inlay teak armrests the same as item SF-C-133 arm tube size: 25 x 25x2.0mm legs tube size: 25x25x1.5mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;2x1 Textilene color: white;57X57X86,5;0,5;26;;;0;;;1300;;4,62;;0;;2,88;;GREENLINE;;;;30,5;21,79;;;MOBILI PER SEDERSI
172;;;;1055;;1180,2;#DIV/0!;;;;;58020;TAVOLO RETTANGOLARE ALLUNGABILE IRIS CM 150/210X210X76 H;AF-T-041;Extension table cm (150)210x90x76 H legs tube size: 50x50x2.0 mm alum frame color white teak wood slats table top hardware : stainless steel with two coating (white powder coating + transparent coating);Frame color: white with two coating (white powder coating + transparent coating);;150(210)x90x76;0,15;1;156x96x10;;0;;453;370;;16,22;;0;;7,73;;GREENLINE;;;;299,5;213,93;;;TAVOLO TEAK
173;;;;1350,9;;1512,1;#DIV/0!;;;;;58030;TAVOLO RETTANGOLARE ALLUNGABILE IRIS CM 180/240X210X746H;AF-T-042;Extension table cm (180)240x100x76 H legs tube size: 60x60x2.0 mm alum frame color white (have same extension system of AF-T-041) teak wood slats table top hardware : stainless steel with two coating (white powder coating + transparent coating);Frame color: white with two coating (white powder coating + transparent coating);;180(240)x100x76;0,38;1;103*183*20;;0;;179;300;;20;;0;;12,85;;GREENLINE;;;;385;275;;;TAVOLO TEAK
174;;;;1106,1;;1224,6;#DIV/0!;;;;;58040;TAVOLO RETTANGOLARE IRIS CM 90X180X76 H;AF-T-019;rectangular table, W90 x L180 x H76cm white alum tube frame in powder coating 2CM teak wood slats table top tube size : 80x80x1.5mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;;90X180X76;0,22;1;97x187x13;;0;;309;270;;22,22;;0;;9,65;;GREENLINE;;;;302;215,71;;;TAVOLO TEAK
175;;;;110,9;;129,5;#DIV/0!;;;;;58060;TAVOLINO QUADRO IRIS PIANO IN VETRO CM 50X50X42 H;AF-T-018;side table,size: 50x50x42cm white alum tube frame in powder coating white printed tempered glass table top tube size: 35x35x1.2mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;White printed tempered glass table top ;50X50X42;0,027;1;54X54X9;;0;;2.519;2500;;2,4;;0;;4;;GREENLINE;;;;32,5;23,21;;;TAVOLO VETRO
176;;;;613;;726,6;#DIV/0!;0;;;;58080;LETTINO MULTIPOSIZIONE IRIS BRACCIOLI IN TEAK - CON RUOTE CM 192X74X83 H;AF-L-010;sling lounge with size 192x74x83cm alum. tube frame in white powder coating white textilene fabric in weave 2x1 with teak armrests,5-position back alum tube size : 45x35x1.5mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;2x1 Textilene color: white; 192x74x83;1,092;2;194x76x74;;0;;125;108;;55,56;;0;;;;GREENLINE;;;;113;80,71;;;MOBILI PER SEDERSI
177;;;;224,8;;251,7;#DIV/0!;;;;;58120;SEDIA CON BRACCIOLI FRESIA COLOR CUOIO ;WF-C-057A;Wicker Chair size 61x65x96cm double resin wicker chair seat and back back legs tube size 30x22x1.2 mm front legs tube size 40x20x1.2 mm arms tube size: 46x20x1.2 mm Alum frame color: anthracite;Frame color: anthracite - rattan color FB99WK00796S;;;2,17;18;;;0;;;540;;11,11;;0;;;;GREENLINE;;;;50;35,71;;;MOBILI PER SEDERSI
178;-100;111,8;123,4;124,9;#DIV/0!;;-100;130,7;;ALLUMINIO + TEAK + TXT ;;300;SEDIA NINFEA COLOR ARGENTO;YQTC003 teak chair;;ARGENTO/NERO;;70x57x99 ;;16;;28,95;20,98;;;640;;8,59;;130,71;29,57;4,3;101;YONGQING;;;19,3;27,5;19,64;;;MOBILI PER SEDERSI
179;6,56;111,8;123,4;124,9;-5,02;131,5;0,61;130,7;;ALLUMINIO + TEAK + TXT ;;47632;SEDIA NINFEA COLOR ANTRACITE;YQTC003 teak chair;;ANTRACITE/VIENNA;;70x57x99 ;;16;;28,95;20,98;;;640;;8,59;;130,71;29,57;4,3;101;YONGQING; ;;19,3;27,5;19,64;;;MOBILI PER SEDERSI
180;20,86;161,4;169,7;190;-7,36;205,1;-0,24;205,6;;ALLUMINIO + TEAK + TXT ;;31100;POLTRONA NINFEA COLOR ARGENTO MULTIPOSIZIONE;YQTC0311 teak fold chair;FOLDING CHAIR;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;Black 8*8 Fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;43,2;31,3;;;602;;9,14;;205,6;40,44;5,6;7,2;YONGQING;;;28;39,5;28,21;;;MOBILI PER SEDERSI
181;20,86;161,4;169,7;190;-7,36;205,1;-0,24;205,6;;ALLUMINIO + TEAK + TXT ;;47638;POLTRONA NINFEA COLOR ANTRACITE MULTIPOSIZIONE;YQTC0311 teak fold chair;FOLDING CHAIR;AKZO-Nobel outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;T4 8*8 Fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;43,2;31,3;;;602;;9,14;;205,64;40,44;5,6;7,2;YONGQING;;;28;39,5;28,21;;;MOBILI PER SEDERSI
182;20,86;161,4;169,7;190;-7,36;205,1;-0,24;205,6;;ALLUMINIO + TEAK + TXT ;;47639;POLTRONA NINFEA COLOR BIANCO MULTIPOSIZIONE;YQTC0311 teak fold chair;FOLDING CHAIR;AKZO-Nobel outdoor coating,white (JA065Z) with two coating, the second coating is transparent polyesther painting.;White - 8 X 8 fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;43,2;31,3;;;602;;9,14;;205,64;40,44;5,6;7,2;YONGQING;;;28;39,5;28,21;;;MOBILI PER SEDERSI
183;-100;56,7;59,6;69,1;#DIV/0!;;-100;70,9;;ALLUMINIO VERNICIATO ARGENTO ;;47600;SGABELLO NINFEA COLOR ARGENTO 47X40XH42;YQFS001;FOOTREST;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;Black - 8 X 8 fabric;47x40x42 ;0,04;1;78x12x49;14,2;10,29;;;1650;;3,33;;70,91;13,62;1,9;2,5;YONGQING; ;;9,8;13,9;9,93;;;MOBILI PER SEDERSI
184;19,13;56,7;59,6;69,1;-2,68;71;0,14;70,9;;ALLUMINIO VERNICIATO ANTRACITE ;;47640;SGABELLO NINFEA COLOR ANTRACITE 47X40XH42;YQFS001;FOOTREST;AKZO-Nobel international outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;T4 8*8 Fabric Stainless steel screws;47x40x42 ;0,04;1;78x12x49;14,2;10,29;;;1650;;3,33;;70,91;13,62;1,9;2,5;YONGQING; ;;9,8;13,9;9,93;;;MOBILI PER SEDERSI
185;18,99;275;316,4;356,9;-5,21;376,5;1,46;371,1;;ALLUMINIO + TEAK + TXT ;;61600;LETTINO NINFEA COLOR ARGENTO MULTIPOSIZIONE ;YQTC0616CL;TEAK ARM AND TEAK WHEEL SUNLOUNGER;AKZO-Nobel international outdoor coating,silver (EW035Z) with two coating, the second coating is transparent polyesther painting.;Black - 8 X 8 fabric Stainless steel screws;175x73x115 ;3,168;10;180x80x220;73,7;53,41;;;180;;30,56;;371,11;83,96;11;118;YONGQING;;;40,8;70;50;;;MOBILI PER SEDERSI
